value,n
dataxen,1
daughter_deceased_deathspawn_son,1
daughter_of_acheron_sister_unnamed_brother_deceased,1
daughters_of_gotham,1
dava_sb_rsc,1
dave,1
dave_1_lucas_trent_2,1
dave_cockrum,1
dave_everest_mark_coffey,1
dave_gibbons_alan_moore,1
dave_gibbons_jos_luis_garc_a_l_pez,1
dave_miller,1
dave_wielgosz_scott_kolins,1
dave_wood_dick_dillin,1
dave_wood_jack_kirby,1
dave_wood_jack_sparling,1
dave_wood_jim_mooney,1
dave_wood_lee_elias_jeff_lemire_mike_mckone,1
dave_wood_sheldon_moldoff_bob_kane,1
dave_wood_sheldon_moldoff_william_dozier_robert_butler_max_hodge,1
dave_younger_brother_deceased,1
david_anthony_kraft,1
david_carter,1
david_conner_krypton_man_last_son_of_krypton_superman,1
david_dave_mathis,1
david_dibble,1
david_emery,1
david_f_walker_ivan_reis,1
david_finch_paul_jenkins,1
david_freeman_father_deceased_rebecca_freeman_mother_deceased_jacob_freeman_grandfather_deceased_sabbac_foster_brother_deceased_kid_eternity_possible_relative_deceased,1
david_freeman_foster_father_deceased_rebecca_freeman_foster_mother_deceased_jacob_freeman_foster_grandfather_deceased_captain_marvel_jr_foster_brother_kid_eternity_foster_brother_deceased,1
david_fuglestad,1
david_grahm,1
david_hand_brother_deceased_unnamed_brother_deceased_unnamed_mother_deceased_unnamed_father_deceased,1
david_hand_brother_joe_hand_brother_peter_hand_brother,1
david_hersch,1
david_hine_agustin_padilla,1
david_hine_cliff_richards,1
david_hyde_father_deceased,1
david_hyde_father_unnamed_adopted_father,1
david_isherwood,1
david_john_sargent,1
david_kaler_steve_ditko,1
david_kent_father_laura_kent_mother_lois_chaudhari_wife_jane_kent_daughter_carol_kent_daughter_perry_clark_jimmy_grandsons,1
david_ketchum_tony_dimarco,1
david_ketchum_tony_dimarco_brian_mckay,1
david_kim,1
david_magnus_brother,1
david_mancini,1
david_mathews_george_h_plympton_joseph_f_poland,1
david_mathis_grandson,1
david_matthew_drake,1
david_michelinie_ernie_chan,1
david_michelinie_greg_larocque,1
david_michelinie_hilary_j_bader,1
david_michelinie_jackson_guice_denis_rodier,1
david_michelinie_mike_vosburg,1
david_michelinie_nestor_redondo,1
david_michelinie_ric_estrada,1
david_michelinie_tom_grummett,1
david_michelinie_val_mayerik_mike_kaluta,1
david_michelinie_val_mayerik_tom_taylor_bruno_redondo,1
david_michelinie_val_semeiks,1
david_milton_hyde_1,1
david_newman_leslie_newman,1
david_odell_steve_orlando_brian_ching,1
david_palmer_father_deceased_susan_palmer_mother_deceased_ted_ralston_godfather_daniel_palmer_brother_deceased_citation_needed_jean_loring_ex_wife_deceased_laethwen_wife_deceased_jean_loring_of_earth_51_wife_deceased,1
david_poole,1
david_possibly_real_name,1
david_prohaska,1
david_s_goyer_geoff_johns,1
david_s_goyer_geoff_johns_stephen_sadowski,1
david_s_goyer_geoff_johns_uriel_caton,1
david_s_goyer_jonathan_nolan,1
david_slack_dustin_nguyen_derek_fridolfs,1
david_slack_pat_mccallum_angel_unzueta,1
david_swan_father_unnamed_mother_unnamed_step_mothers,1
david_tenzer,1
david_vern_reed_lew_sayre_schwartz,1
david_williams_father_dominique_williams_mother,1
david_wise,1
david_wist,1
davis_bloome,1
davis_bloome_former_other_side_deceased_general_zod_father_faora_mother_vala_aunt_deceased,1
davis_dusk,1
davit_sargon,1
davita_scarlett_sneha_koorse,1
davood_nassur,1
davroth_catto,1
davy_tenzer,1
dawlakispokpok,1
dawlakispokpok_father_thwarcharchura_mother_darthartheen_sister,1
dawlakispokpok_father_thwarcharchura_mother_doranchatok_brother,1
dawlakispokpok_husband_doranchatok_son_darthartheen_daughter,1
dawn,1
dawn_allen_mother_don_allen_uncle_deceased_bart_allen_cousin_barry_allen_grandfather_iris_west_grandmother_see_allen_family_for_more,1
dawn_allen_ognats,1
dawn_driscoll_mother_caleb_driscoll_great_great_grandfather_deceased,1
dawn_granger_sister_russ_granger_father_marie_granger_mother,1
dawn_marie_granger,1
dawn_stiles,1
dawnbreaker,1
dawnfire,1
dawnstar_gr_ell,1
dax_baron,1
dax_novu,1
dax_ur,1
daxam_formerly_mogo_oa,1
daxam_formerly_oa,1
daxamites,1
day_care_worker_financier,1
daybreaker,1
dayton_industries_2_task_force_xi_formerly_doom_patrol_1_justice_league_dark,1
dayton_industries_hq_san_francisco,1
dc_comics,1
dc_one_million_new_earth,1
dc_one_million_new_earth_all_star_superman,1
de_cine_son,1
de_clout,1
de_evolution_pills,1
de_moniac,1
deaaaaa,1
deacon_dark,1
deacon_dickson,1
dead_kid_fred,1
dead_king_king_nereus,1
dead_romeo,1
dead_water_1,1
dead_waters,1
deadcoil,1
deadfall,1
deadly_six,1
deadshot,1
deadwing_dick_grayson_nightwing_robin,1
dean_baker,1
dean_deveraux_kate_kane_1_jacob_kane_2_dr_m_butler_3,1
dean_egghead,1
dean_hunter,1
dean_lorey_justin_halpern_patrick_schumacker,1
dean_of_students_at_mystik_university,1
dean_toye,1
deanna_barr,1
dear_justice_league,1
dear_lois,1
dearborn_detroit_michigan_justice_league_watchtower,1
death_angel,1
death_bat,1
death_doll,1
death_eye,1
death_god_of_death_flash,1
death_kraken,1
death_kraken_twin,1
death_man,1
death_rite,1
death_row,1
deathblow,1
deathgrip,1
deathlok,1
deathspawn_of_apokolips,1
deathstroke_formerly_teen_titans,1
deathstroke_rose_willow_audrey_dosletter_1,1
deathstroke_slade_wilson_foster_father,1
debbie_dibny_mother_unnamed_father,1
debbie_trainor_mother_gerald_trainor_father_sheryl_trainor_wife_deceased_paul_trainor_son_gary_trainor_son_deceased_dex_trainor_grandson_toby_trainor_great_grandson,1
deborah,1
deborah_darnell_camille,1
deborah_debbi_domaine,1
deborah_joy_levine,1
deborah_perkins,1
debstam_iv,1
debstam_iv_warworld_sector_2811,1
debutante,1
debutanteprofessional_criminal,1
decadence,1
deceilia,1
deceilia_starshame,1
deedra,1
deena_terrell_mother_slapjack_grandfather,1
deep_blue,1
deep_blue_daughter_tsunami_ex_wife_ross_perkins_father_deceased_miriam_perkins_mother_deceased_arthur_gordon_pym_grandfather,1
deep_dweller,1
default,1
defector_former_terrorist_commander_of_the_drift,1
defense_department_intelligence_formerly_dream_of_the_endless,1
defile,1
deidre_and_delia_dennis_grandchildren,1
deimax,1
deimos_brother,1
dekan_drache,1
dekan_drache_1,1
dekann_outer_territory,1
deke_durgan,1
del_marzopa,1
del_toro_family,1
dela_pharon,1
deli_shop_owner_formerly_god_of_evil_madness_and_chaos_demon_lord_lord_of_chaos,1
delia_dennis_deirdre_dennis,1
delia_pflaum,1
delia_spyros,1
delight_mania_kahn,1
delilah_hynes_daughter_shawna_hynes_daughter_malaya_hynes_wife,1
delingis_jarouq,1
delirium,1
delirium_s_realm,1
dell_merriwether,1
delores_filmore_louise_stebbins,1
delphae,1
delta_force_league_of_shadows_formerly_u_s_military,1
delya_castil,1
demetria,1
demigod_atlantean_hybrid,1
demigod_atlantean_hybrid_2,1
demigod_homo_magi,1
demigod_kryptonian,1
demigod_reptile,1
demigod_shark,1
democratic_republic_of_the_congo,1
democratic_republic_of_the_congo_africa,1
demolisher_architect,1
demon_agent_of_chaos,1
demon_archduke,1
demon_fencer,1
demon_formally_a_doctor,1
demon_former_crimelord,1
demon_former_god_of_storm_and_fertility,1
demon_gate,1
demon_god_see_notes,1
demon_gods_elder_gods,1
demon_knights,1
demon_knights_amazons_of_themyscira,1
demon_knights_justice_league_dark_formerly_sinestro_corps_stormwatch_justice_league_team_wonder_justice_league_united,1
demon_s_fist_league_of_assassins,1
demon_s_fistleague_of_assassins,1
demon_s_head,1
demon_s_head_leland_mccauley_messiah_of_the_crimson_sun_1_raymond_de_su_mer_2,1
demon_s_head_robin,1
demon_s_head_the_arrow_1,1
demon_s_lock_king_of_blood,1
demon_shadows,1
demonia,1
demonia_sister_deceased,1
demonologist,1
demons_azarathian,1
demons_djinn,1
demons_dog,1
demons_dragon,1
demons_god,1
demons_post_death,1
demons_south_hell_crips,1
demons_the_pitriders_formally_north_hell_bloods,1
denis,1
denis_last_name_unknown,1
denis_son,1
denise_howard,1
denise_see_trivia,1
denizens_of_the_innerverse,1
dennis_colt,1
dennis_janke,1
dennis_marks,1
dennis_neville_sheldon_moldoff,1
dennis_o_connor_father_unnamed_mother_unnamed_sister_deceased,1
dennis_o_flaherty,1
dennis_o_neil_andrew_kreisberg_marc_guggenheim,1
dennis_o_neil_barry_kitson,1
dennis_o_neil_bob_brown,1
dennis_o_neil_bob_brown_beth_schwartz_grainne_godfree,1
dennis_o_neil_chuck_dixon_graham_nolan_doug_moench,1
dennis_o_neil_chuck_dixon_graham_nolan_john_stephens_iturri_sosa,1
dennis_o_neil_dick_dillin_dustin_nguyen_derek_fridolfs,1
dennis_o_neil_dick_giordano,1
dennis_o_neil_don_heck,1
dennis_o_neil_don_newton,1
dennis_o_neil_guillem_march,1
dennis_o_neil_jack_sparling,1
dennis_o_neil_jim_berry,1
dennis_o_neil_jim_berry_leo_duranona_ben_sokolowski_beth_schwartz,1
dennis_o_neil_jim_berry_leopoldo_duranona,1
dennis_o_neil_neal_adams_danny_cannon,1
dennis_o_neil_roger_robinson,1
dennis_o_neil_steve_ditko,1
denny_full_name_unknown,1
denny_swan,1
denver,1
denver_colorado,1
denver_residence,1
denver_residence_apokolips_formerly,1
deon_owens,1
department_of_domestic_security_united_states_army,1
department_of_extranormal_operations,1
department_of_extranormal_operations_formerly_fbi,1
department_of_extranormal_operations_global_peace_agency_1,1
department_of_extranormal_operations_partner_of_epsilon,1
department_psi_member_of_wildcore_a_mansion_in_south_africa,1
department_psi_operative_as_member_of_wildcore,1
deputy_director_of_stormwatch,1
deputy_sheriff,1
deputy_watts,1
der_blitz_german_name,1
der_zyklon,1
deraegis,1
derby_youth_home_charlton_s_point,1
derek_deke_mitchell,1
derek_fury,1
derek_james,1
derek_poutine_fury,1
derek_powell,1
derek_sampson,1
derek_trevor_husband_deceased_hippolyta_lyta_trevor_hall_fury_adoptive_daughter_deceased_hector_hall_dr_fate_son_in_law_deceased_daniel_hall_dream_grandson,1
derek_two_shadow,1
derinoe,1
derinoe_mother_deceased,1
deron_ved_husband,1
dervish,1
desdemona_ex_wife,1
deserters,1
deserts_of_california,1
designed_and_constructed_by_physicist_joar_mahkent,1
desir_e_atkins,1
desmond_connor,1
desmond_ray_palmer_1,1
despair_s_realm,1
despera,1
despero_father,1
destra,1
destruction,1
detective_bartender,1
detective_club_gotham_academy_dramatic_arts_society,1
detective_conley_1,1
detective_former_criminal_police_commissioner,1
detective_former_firefighter,1
detective_formerly_actress,1
detective_jared_morillo,1
detective_magician,1
detective_occultist,1
detective_police_commissioner,1
detective_police_officer,1
detective_scarecrow_dr_gruidae_yellow_lantern_the_needle,1
detention_block_z_pariah_penitentiary_formerly_krypton,1
detroit_san_francisco_formerly_japan,1
deva,1
devastator,1
deviant_ones,1
devil_fish,1
devil_s_anvil_new_mexico,1
devilance,1
devilance_the_pursuer,1
devin_grayson_paul_ryan,1
devlin_o_ryan,1
devolvo_lad,1
devour,1
devourer_of_souls,1
devourers,1
dexter_fairfax,1
dgrth,1
dh,1
dhalua_omotu_strong,1
dhalua_strong,1
dharma,1
dhazmor,1
dheronian,1
dheronians,1
dia,1
dia_sister_kor_sister,1
dia_sister_rad_sister,1
diablo_blacksmith,1
diablo_d_daddy,1
diablo_honeybun,1
diabloverdan,1
diabloverde,1
dial_h_u_s_k,1
diamalon,1
diamond,1
dian_belmont_domestic_partner_deceased_sandy_hawkins_ward_edward_dodds_father_deceased_marina_dodds_mother_deceased_gerald_dodds_brother,1
diana_1_wonder_woman_requiem_shim_tar,1
diana_birth_name_diana_trevor_legal_name,1
diana_cousin_drusilla_cousin_queen_hippolyta_aunt,1
diana_daughter_aresia_foster_daughter_ur_zod_grandson,1
diana_daughter_deceased,1
diana_daughter_donna_troy_daughter_cassie_sandsmark_unknown_relation_1,1
diana_daughter_drusilla_daughter_evadne_niece,1
diana_lyon,1
diana_mother_deceased_steppenwolf_father_rublon_paternal_half_brother,1
diana_of_amazon_island,1
diana_of_themyscira_daughter_thrax_son,1
diana_of_themyscira_wife_hippolyta_mother_in_law,1
diana_possible_daughter_ur_zod_possible_grandson,1
diana_prince_1_godkiller_2,1
diana_prince_genetic_template,1
diana_prince_princess_diana_miss_america_goddess_of_truth_dinanna_truthqueen_once_princess_once_goddess,1
diana_prince_princess_diana_pyxis_daughter_of_earth_athantos_formerly,1
diana_prince_star_sapphire_war_yellow_lantern_truthqueen,1
diana_prince_trevor_wonder_woman_wife_greg_trevor_brother,1
diana_s_mount,1
diana_sister_darkstar_son_jonathan_kent_nephew,1
diana_themyscira,1
diana_trevor,1
diana_trevor_daughter_general_steve_trevor_son_in_law_hippolyta_trevor_hall_fury_granddaughter_daniel_hall_dream_great_grandson,1
diana_trevor_diana_prince_wonder_girl_wonder_tot_miss_x,1
diana_trevor_mother_steve_trevor_father_deceased,1
diana_trevor_wife_vicki_trevor_and_ettie_trevor_daughters,1
diana_troy,1
diana_wonder_woman_daughter,1
diana_wonder_woman_daughter_superman_son_in_law_deceased,1
diane_dorst,1
diane_ruggiero_wright,1
dianne_grayton,1
diasporan_king_former_host_deceased_supergirl_former_host,1
dick_french,1
dick_giordanogaspar_saladino,1
dick_grayson,1
dick_grayson_adopted_son_jason_todd_adopted_son_tim_drake_adopted_son_damian_wayne_son,1
dick_grayson_father_barbara_gordon_mother_deceased,1
dick_grayson_father_koriand_r_mother_komand_r_aunt_unnamed_wife_richard_grayson_ii_son,1
dick_grayson_formerly_haley_s_circus,1
dick_rory_father_deceased_unnamed_mother_deceased_lita_daughter,1
dick_sprang_bruno_heller_danny_cannon,1
dick_sprang_james_stoteraux_chad_fiveash,1
dick_wood_dick_dillin,1
dictator_and_protector_of_kahndaq,1
didiu,1
diego_zhao,1
diesel,1
digger_harkness_father_meloni_thawne_mother_bart_allen_half_brother_see_allen_family_for_complete_family_tree,1
digit,1
digitally_advanced_villain_emulator,1
digiverse,1
diib,1
dik_rey,1
dimension_4_9_8,1
dimension_beyond_the_great_door_of_azarath,1
dimension_five,1
dimensional_guardian,1
dimensionally_mobile_pawn_shop,1
dimensions_unknown,1
dimita,1
dinah_barton,1
dinah_drake_lance_mother,1
dinah_drake_lance_mother_deceased,1
dinah_drake_maternal_grandmother_dinah_lance_mother_oliver_queen_father_deceased_oliver_queen_stepfather_sara_lance_maternal_aunt,1
dinah_drake_mother_deceased,1
dinah_drake_mother_sara_lance_sister_oliver_queen_first_husband_deceased_oliver_queen_second_husband_connor_lance_queen_son,1
dinah_lance_birth_name_dinah_lance_queen_married_name,1
dinah_lance_mother_deceased_kurt_lance_husband_estranged_see_notes,1
dinah_lance_queen_wife,1
dinah_laurel_lance_daughter,1
dinah_redmond,1
dinah_redmond_daughter,1
dindra,1
dindra_the_deer,1
dinky,1
dinky_the_devil_bat,1
dino,1
dinosaur_island_the_land_that_time_forgot,1
diode_the_invincible,1
dion,1
dione,1
dionysus_son,1
diplomat_freedom_fighter_former_angel_of_mercy,1
director_of_a_r_g_u_s,1
director_of_cadmus,1
director_of_future_planning_section_for_nasa,1
director_of_n_o_w_h_e_r_e,1
director_of_operations_and_deputy_mayor_of_fabletown,1
director_of_stormwatch_prime,1
director_of_the_northeastern_branch_of_the_department_of_extranormal_operations,1
director_slayton,1
diro_yat,1
diro_yat_father_cara_yat_mother,1
dis,1
discordia,1
disposable_man,1
disruptor,1
divine,1
divine_entity_nun,1
divine_parents_belial_son_deceased_ruskoff_son_suge_son_raven_daughter_bertok_raaf_niece_etrigan_grandson_merlin_grandson,1
diviner,1
divorced_widowed,1
dix_harvey_bullock_barbara_kean,1
dj_aqualad,1
dj_molecule,1
dj_nursing_home_aide_formerly,1
djehuti,1
djibril_the_snob,1
djinn_sister_1_yz_brother_2_other_unnamed_brothers_1_the_creator_parent_1,1
dmitri_mishkin_son_ivan_mishkin_husband_mary_seward_sire,1
dmitri_pushkin,1
dmz,1
dna,1
dnaliens,1
doc_bundy,1
doc_destiny_doctor_destiny_the_billion_dollar_phantom,1
doc_dread,1
doc_fate,1
doc_future,1
doc_magnus_father_creator,1
doc_quin,1
doc_robot,1
doc_robot_father_creator,1
doc_strange,1
doc_williams,1
docent_folk,1
doctor_7,1
doctor_alchemy,1
doctor_alchemy_alvin_desmond,1
doctor_allirog,1
doctor_aquadus,1
doctor_aven,1
doctor_caitlin_fairchild,1
doctor_canaan,1
doctor_canus_kamandi,1
doctor_charles_langley_creator,1
doctor_clonus,1
doctor_cross,1
doctor_david_dibble_big_baby,1
doctor_death,1
doctor_demon,1
doctor_devious,1
doctor_dezard_1,1
doctor_dinosaur,1
doctor_doog,1
doctor_droog,1
doctor_echo,1
doctor_eli_selig_creator,1
doctor_ellis,1
doctor_fate_red_robin,1
doctor_faust,1
doctor_franz,1
doctor_gotham,1
doctor_gym_ll_uncle,1
doctor_harleen_quinzel_batgirl_doctor_seaborn_1,1
doctor_heckla_a_p_e_1,1
doctor_hugo_corvid_1,1
doctor_ikon,1
doctor_ivo_creator,1
doctor_kroolman,1
doctor_kryptonite,1
doctor_leviticus,1
doctor_magician,1
doctor_midnight,1
doctor_moag,1
doctor_morrow_creator_red_tornadoes_brothers,1
doctor_mortimer,1
doctor_nemo,1
doctor_of_the_kandorian_army_former_employee_at_a_bookstore,1
doctor_omen_creator_superman_partial_genetic_template,1
doctor_peace_activist,1
doctor_phoenix,1
doctor_phosphorous,1
doctor_phosphorous_father,1
doctor_psychic,1
doctor_psycho_jackson_alpert,1
doctor_regulus,1
doctor_researcher,1
doctor_rhodon,1
doctor_robert_march_father_kirk_langstrom_husband,1
doctor_schivel_first_name_unknown,1
doctor_scientist,1
doctor_seven_king_of_the_supernatural,1
doctor_sin,1
doctor_skuba,1
doctor_strangefate,1
doctor_supernatural,1
doctor_thirteen_father_meihui_lan_mother_deceased_two_unnamed_brothers,1
doctor_thirteen_father_unnamed_mother,1
doctor_thirteen_husband_traci_thirteen_daughter_two_unnamed_sons_deceased,1
doctor_thompkins_the_doc,1
doctor_trap,1
doctor_tzin_tzin,1
doctor_voodoo,1
doctor_weerd,1
doctor_x,1
doctor_xadu,1
doctor_xadu_husband,1
doctor_zero_father_anton_zero_twin_brother,1
doctors_three_lucius_fox,1
dodge,1
dog_furry,1
dog_stars_hq,1
doghouse_of_solitude_formerly_smallville_formerly_krypton,1
doghouse_of_solitude_smallville,1
dogtag,1
dogwelder,1
doiby_dickles_husband,1
doktor_psykho,1
doll_face,1
doll_girl_martha_roberts_wife,1
doll_man_and_doll_girl,1
doll_man_father_doll_girl_mother,1
doll_man_john_husband_deceased,1
doll_woman,1
doll_woman_donna_caprese_wife,1
dolmen,1
dolores_mentallo_wife_deceased,1
dolores_pratchet,1
dolores_winters,1
dolos_mendacius_dechalafrea_ero,1
dolphin_wife,1
dolphine,1
dolphus,1
domina,1
dominators_legion_of_superheroes,1
dominic_darrk,1
dominic_lanse_1_john_diggle_2,1
dominoed_daredoll_darknight_damsel_mighty_girl_1_miss_barbour_2,1
dominus,1
don_allen_father_deceased_meloni_thawne_mother_barry_allen_grandfather_iris_west_allen_grandmother_thaddeus_thawne_i_grandfather_owen_mercer_half_brother_deceased_dawn_allen_aunt_deceased_jenni_ognats_cousin_thaddeus_thawne_ii_clone_deceased_cherub_partial_clone_see_allen_family_for_complete_family_tree,1
don_cameron_chuck_winter,1
don_coyote,1
don_e,1
don_enrago,1
don_hall_brother,1
don_hall_brother_deceased_irwin_hall_father_rae_hall_mother_james_penfield_uncle,1
don_newton,1
donald_and_marilyn_batson_1_parents_deceased_dudley_batson_great_uncle_1_dr_sivana_step_uncle_1_sinclair_sivana_step_cousin_beautia_sivana_step_cousin,1
donald_don_hall,1
donald_don_hall_brother,1
donald_eberhard,1
donald_fite_father_oshi_fite_mother_oya_grandmother_agua_sin_gaaz_grandfather_ishido_maad_foster_parent_uncle,1
donald_troy,1
donalley,1
donar_r_blitz_1,1
donna_caprese,1
donna_carol_d_c_force,1
donna_fury_daughter,1
donna_hinckley_stacey_troy_1,1
donna_milton,1
donna_morris,1
donna_of_amazon_island,1
donna_troy_daughter,1
donna_troy_formerly_nikos_aegeus,1
donna_troy_mother_deceased_diana_aunt_jonathan_kent_cousin,1
donna_troy_mother_terry_long_father_deceased_see_long_family_and_titans_of_myth_for_extended_family_members,1
donna_troy_sister_bizarra_clone,1
donna_wonder,1
donner,1
doog_first_name_unknown,1
doom_force_formerly_doom_patrol,1
doom_manor_cloverton_ohioformerly_florida,1
doom_manor_formerly_ant_farm,1
doom_manor_ohio_formerly_hollywood,1
doom_manor_ohio_formerly_yukon_canada_formerly_danny_the_street,1
doom_manor_ohioformerly_arkansas_central_city,1
doom_manor_ohioformerly_north_dakota_california,1
doom_manor_ohioformerly_s_t_a_r_labs_detroit,1
doom_patrol_formerly_black_lantern_corps,1
doom_patrol_formerly_brotherhood_of_nada,1
doom_patrol_formerly_doom_patrol_future,1
doom_patrol_formerly_hollywood,1
doom_patrol_formerly_hybrid_seven_soldiers_of_victory,1
doom_patrol_formerly_nascar,1
doom_patrol_formerly_s_t_a_r_labs,1
doom_patrol_formerly_united_states_air_force,1
doom_patrol_headquarters_delta_city_formerly_jost_enterprises_sacramento_california,1
doom_patrol_headquarters_midway_city_michigan_las_vegas,1
doom_patrol_justice_league_united,1
doom_patrol_s_t_a_r_labs_formerly_teen_titans_titans_los_angeles,1
doomed,1
doomsboy,1
doomsboy_partial_clone_doomsday_clone,1
doomsday_doomsday_junior,1
doomsday_for_the_fifth_dimension,1
doomsday_genetc_template,1
doomsday_kryptonian_genetic_template_deceased_paul_westfield_human_genetic_template_conal_adopted_brother,1
doomsday_ultimate_destroyer_the_cornfield_killer,1
doomslayer,1
doomstroke,1
doomstroke_creator_father,1
doomthor,1
doopa,1
doppelganger,1
dor_ion,1
dora_keane,1
dora_leigh,1
doralla_kon,1
doranchatok,1
dorcas_dora_leigh,1
doris_brinkley_chase_wife_deceased_adam_chase_son_deceased_drew_chase_daughter_deceased_charles_chase_father_dorian_chase_brother_danny_chase_nephew,1
doris_shelby,1
doris_zeul,1
dorothy_spinner_creator,1
dorothy_spinner_daughter,1
dorothy_spinner_host,1
dot,1
dotsia,1
double_agent_for_the_black_lantern_corps_former_member_of_the_guardians_of_the_universe,1
double_trouble,1
doug_moench,1
doug_moench_adrian_gonzales,1
doug_moench_dave_hoover,1
doug_moench_don_newton_gene_colan,1
doug_moench_gene_colan,1
doug_moench_jan_duursema,1
doug_moench_jim_aparo,1
doug_moench_jim_balent,1
doug_moench_mike_manley,1
doug_wheeler_pat_broderick,1
douglas_dougie_nolan,1
douglas_marchebank_ii_husband_deceased_jeffrey_kane_husband_deceased_douglas_marchebank_iii_son_clarissa_marchebank_granddaughter_abner_ridges_uncle_deceased_1_mrs_winston_1_mother_presumely_deceased,1
douglas_nolan_brother_andrew_douglas_nolan_father_luiza_karamonte_nolan_mother,1
douglas_nolan_brother_nancy_nolan_mother_doc_3_caretaker,1
dowager_matriarch_of_xebel,1
download,1
downpour,1
downpour_brother,1
downtown_las_vegas_apartment,1
dox,1
dox_the_dog,1
doyenne_barda_formerly_apokolips,1
doyle_brande,1
dr_7,1
dr_alchemy_dante_ramon_1_francine_west_2_the_future_flash_the_flash_3,1
dr_alec_holland,1
dr_alucard,1
dr_anatol_mykros_father_deceased_ellina_mykros_sister_deceased_nairi_mykros_mother_deceased,1
dr_angela_angie_spica,1
dr_axel_brass,1
dr_bannergy,1
dr_burgos_creator,1
dr_charles_langley_creator_susan_rodriguez_creator,1
dr_edward_carne_1,1
dr_edward_hanson,1
dr_emma_glenn_wife_julia_colt_daughter_dr_richard_glenn_father_in_law_deceased,1
dr_eric_grimley,1
dr_eric_grimley_creator_poison_ivy_adoptive_mother_hazel_adoptive_sister_rose_adoptive_sister,1
dr_forte_creator_father_kara_zor_el_genetic_template_twin_sister,1
dr_gerard_yves_martet_creator,1
dr_hannibal_lecter_2_sheriff_john_wayne_3_colonel_cold_4_bob_de_niro_5_sir_raymond_of_the_palms_6_rage_7_mr_parker_8,1
dr_harleen_quinzel,1
dr_isley,1
dr_jason_woodrue,1
dr_jay_abrams,1
dr_jeremiah_clugg,1
dr_jeremy_stone,1
dr_kane,1
dr_karin_grace,1
dr_kurree_servilia_prudence_beene,1
dr_langstrom,1
dr_ledbedder_father,1
dr_light,1
dr_mar_londo_father_deceased_nannette_londo_mother_deceased,1
dr_marko,1
dr_melch_father,1
dr_mensa,1
dr_mitchell_creator_clark_kent_personality_template,1
dr_mordecai_shaw,1
dr_olivia_keller,1
dr_phillings,1
dr_psychic,1
dr_psycho,1
dr_psykho,1
dr_rachel_steel,1
dr_sivana_the_world_s_wickedest_scientist,1
dr_solano_castra,1
dr_steel,1
dr_terry_thirteen_father_meihui_lan_mother_deceased,1
dr_thnita,1
dr_urdle,1
dr_van_pyre,1
dr_von_thorp_builder_hugh_hazzard_owner_operator,1
dr_vulture,1
dr_walden,1
dr_william_magnus_father_creator_gold_brother_mercury_brother_iron_brother_tin_brother_lead_brother_copper_sister,1
dr_william_magnus_father_creator_gold_brother_mercury_brother_iron_brother_tin_brother_lead_brother_platinum_sister,1
dr_william_magnus_father_creator_nameless_wife_creation_platinum_sister_mercury_brother_iron_brother_gold_brother_lead_brother_copper_sister,1
dr_william_magnus_father_creator_platinum_sister_gold_brother_iron_brother_tin_brother_lead_brother_copper_sister,1
dr_william_magnus_father_creator_platinum_sister_mercury_brother_gold_brother_tin_brother_iron_brother_copper_sister,1
dr_william_magnus_father_creator_platinum_sister_mercury_brother_gold_brother_tin_brother_lead_brother_copper_sister,1
dr_william_magnus_father_creator_platinum_sister_mercury_brother_iron_brother_tin_brother_lead_brother_copper_sister,1
draft_animal,1
drago,1
dragon_god_s_temple,1
dragon_king_father,1
dragon_rider_corporal_rogers_dan,1
dragon_wizard,1
dragonfire,1
dragonlady,1
dragonmage,1
dragonman,1
dragons,1
dragonson,1
dragonwing,1
dragorin,1
drake_holloway,1
drake_jones,1
drang_club_haus_kidz,1
drang_the_destroyer,1
dreadbolt,1
dreadnought,1
dream_boy,1
dream_dome_dimension_of_dreams,1
dream_supervisor,1
dreambound,1
dreamworld,1
drew_fisher,1
drew_z_greenberg,1
drezen_prime,1
drill_sergeant,1
drive_by,1
drogue,1
drone,1
drooly,1
droxelle,1
drrt,1
dru_zod_birth_name_clark_kent_legal_name,1
dru_zod_father_ursa_mother_mon_el_grandson,1
dru_zod_husband_lor_zod_son_mon_el_great_grandson,1
dru_zod_i,1
drug_trafficker,1
druglord,1
druid,1
drums,1
drunkula,1
drusilla_dru_prince,1
drusilla_priam_1_donna_prince_2,1
dryad_dimension,1
duality,1
duane_capizzi,1
duane_swierczynski_romano_molenaar,1
duane_swierczynski_travel_foreman,1
duarmzshee_paan,1
dubbilex_genetic_donor,1
duc_phan_husband_avery_phan_daughter,1
duck_zarro,1
ducra,1
ducra_mother_deceased_the_untitled_descendants,1
dudley,1
dudley_caldecott,1
dudley_h_dudley_uncle_foster_father,1
duela_dent,1
duela_dent_daughter,1
dufus_p_ratchet,1
duke_of_oil,1
duke_thomas,1
duke_thomas_son,1
dumas,1
dumb_bunny,1
dumb_bunny_ex_wife_non_canon,1
dumb_ell_father_mermaid_wife_awakard_man_son,1
dumb_ell_grandfather_mister_might_father_mermaid_mother,1
dun,1
dun_cousin_deceased_colin_cousin_deceased,1
dunbar_dodo,1
duncan_allenmeyer,1
duncan_andrews,1
duncan_pramble,1
dune,1
duplicate_boy,1
duplicate_damsel,1
duplicate_girl_triplicate_girl_duo_damsel_una_lelith_marie_elkins_1,1
duplicate_man,1
duran,1
durla_3_th_century,1
durlans,1
dusan_al_ghul,1
dwarf,1
dwarfstar,1
